,make,model,year,fuel,hp,cylinders,trans,drive,doors,vsize,body,hwy_mpg,city_mpg,popularity,price,comb_mpg,log_hp,log_hwy_mpg,log_city_mpg,log_comb_mpg,log_popularity,log_price,ppp,mpg_ratio,mpg_per_hp
0,BMW,1 Series M,2011,premium unleaded ,335,6,manual,rear wheel drive,2,Compact,Coupe,26,19,3916,46135,22.5,2.525044807036845,1.414973347970818,1.2787536009528289,1.3521825181113625,3.5928426831311002,4.664030524947218,137.71641791044777,1.368421052631579,0.06716417910447761
1,BMW,1 Series,2011,premium unleaded ,300,6,manual,rear wheel drive,2,Compact,Convertible,28,19,3916,40650,23.5,2.4771212547196626,1.4471580313422192,1.2787536009528289,1.3710678622717363,3.5928426831311002,4.609060549930087,135.5,1.4736842105263157,0.07833333333333334
2,BMW,1 Series,2011,premium unleaded ,300,6,manual,rear wheel drive,2,Compact,Coupe,28,20,3916,36350,24.0,2.4771212547196626,1.4471580313422192,1.3010299956639813,1.380211241711606,3.5928426831311002,4.560504415195057,121.16666666666667,1.4,0.08
3,BMW,1 Series,2011,premium unleaded ,230,6,manual,rear wheel drive,2,Compact,Coupe,28,18,3916,29450,23.0,2.361727836017593,1.4471580313422192,1.255272505103306,1.3617278360175928,3.5928426831311002,4.469085299123121,128.04347826086956,1.5555555555555556,0.1
4,BMW,1 Series,2011,premium unleaded ,230,6,manual,rear wheel drive,2,Compact,Convertible,28,18,3916,34500,23.0,2.361727836017593,1.4471580313422192,1.255272505103306,1.3617278360175928,3.5928426831311002,4.537819095073274,150.0,1.5555555555555556,0.1
5,BMW,1 Series,2012,premium unleaded ,230,6,manual,rear wheel drive,2,Compact,Coupe,28,18,3916,31200,23.0,2.361727836017593,1.4471580313422192,1.255272505103306,1.3617278360175928,3.5928426831311002,4.494154594018442,135.65217391304347,1.5555555555555556,0.1
6,BMW,1 Series,2012,premium unleaded ,300,6,manual,rear wheel drive,2,Compact,Convertible,26,17,3916,44100,21.5,2.4771212547196626,1.414973347970818,1.2304489213782739,1.3324384599156054,3.5928426831311002,4.644438589467838,147.0,1.5294117647058822,0.07166666666666667
7,BMW,1 Series,2012,premium unleaded ,300,6,manual,rear wheel drive,2,Compact,Coupe,28,20,3916,39300,24.0,2.4771212547196626,1.4471580313422192,1.3010299956639813,1.380211241711606,3.5928426831311002,4.594392550375427,131.0,1.4,0.08
8,BMW,1 Series,2012,premium unleaded ,230,6,manual,rear wheel drive,2,Compact,Convertible,28,18,3916,36900,23.0,2.361727836017593,1.4471580313422192,1.255272505103306,1.3617278360175928,3.5928426831311002,4.567026366159061,160.43478260869566,1.5555555555555556,0.1
9,BMW,1 Series,2013,premium unleaded ,230,6,manual,rear wheel drive,2,Compact,Convertible,27,18,3916,37200,22.5,2.361727836017593,1.4313637641589874,1.255272505103306,1.3521825181113625,3.5928426831311002,4.570542939881897,161.7391304347826,1.5,0.09782608695652174
10,BMW,1 Series,2013,premium unleaded ,300,6,manual,rear wheel drive,2,Compact,Coupe,28,20,3916,39600,24.0,2.4771212547196626,1.4471580313422192,1.3010299956639813,1.380211241711606,3.5928426831311002,4.597695185925512,132.0,1.4,0.08
11,BMW,1 Series,2013,premium unleaded ,230,6,manual,rear wheel drive,2,Compact,Coupe,28,19,3916,31500,23.5,2.361727836017593,1.4471580313422192,1.2787536009528289,1.3710678622717363,3.5928426831311002,4.498310553789601,136.95652173913044,1.4736842105263157,0.10217391304347827
12,BMW,1 Series,2013,premium unleaded ,300,6,manual,rear wheel drive,2,Compact,Convertible,28,19,3916,44400,23.5,2.4771212547196626,1.4471580313422192,1.2787536009528289,1.3710678622717363,3.5928426831311002,4.64738297011462,148.0,1.4736842105263157,0.07833333333333334
13,BMW,1 Series,2013,premium unleaded ,230,6,manual,rear wheel drive,2,Compact,Convertible,28,19,3916,37200,23.5,2.361727836017593,1.4471580313422192,1.2787536009528289,1.3710678622717363,3.5928426831311002,4.570542939881897,161.7391304347826,1.4736842105263157,0.10217391304347827
14,BMW,1 Series,2013,premium unleaded ,230,6,manual,rear wheel drive,2,Compact,Coupe,28,19,3916,31500,23.5,2.361727836017593,1.4471580313422192,1.2787536009528289,1.3710678622717363,3.5928426831311002,4.498310553789601,136.95652173913044,1.4736842105263157,0.10217391304347827
15,BMW,1 Series,2013,premium unleaded ,320,6,manual,rear wheel drive,2,Compact,Convertible,25,18,3916,48250,21.5,2.505149978319906,1.3979400086720377,1.255272505103306,1.3324384599156054,3.5928426831311002,4.683497317679811,150.78125,1.3888888888888888,0.0671875
16,BMW,1 Series,2013,premium unleaded ,320,6,manual,rear wheel drive,2,Compact,Coupe,28,20,3916,43550,24.0,2.505149978319906,1.4471580313422192,1.3010299956639813,1.380211241711606,3.5928426831311002,4.638988159343682,136.09375,1.4,0.075
32,FIAT,124 Spider,2017,premium unleaded ,160,4,manual,rear wheel drive,2,Compact,Convertible,35,26,819,27495,30.5,2.2041199826559246,1.5440680443502757,1.414973347970818,1.4842998393467859,2.9132839017604186,4.439253724017898,171.84375,1.3461538461538463,0.190625
33,FIAT,124 Spider,2017,premium unleaded ,160,4,manual,rear wheel drive,2,Compact,Convertible,35,26,819,24995,30.5,2.2041199826559246,1.5440680443502757,1.414973347970818,1.4842998393467859,2.9132839017604186,4.397853141088609,156.21875,1.3461538461538463,0.190625
34,FIAT,124 Spider,2017,premium unleaded ,160,4,manual,rear wheel drive,2,Compact,Convertible,35,26,819,28195,30.5,2.2041199826559246,1.5440680443502757,1.414973347970818,1.4842998393467859,2.9132839017604186,4.450172098924372,176.21875,1.3461538461538463,0.190625
41,BMW,2 Series,2016,premium unleaded ,240,4,automatic,rear wheel drive,2,Compact,Coupe,35,23,3916,32850,29.0,2.380211241711606,1.5440680443502757,1.3617278360175928,1.462397997898956,3.5928426831311002,4.5165353738958,136.875,1.5217391304347827,0.12083333333333333
42,BMW,2 Series,2016,premium unleaded ,240,4,automatic,rear wheel drive,2,Compact,Convertible,34,23,3916,38650,28.5,2.380211241711606,1.5314789170422551,1.3617278360175928,1.4548448600085102,3.5928426831311002,4.587149498254344,161.04166666666666,1.4782608695652173,0.11875
43,BMW,2 Series,2016,premium unleaded ,320,6,automatic,rear wheel drive,2,Compact,Convertible,31,20,3916,48750,25.5,2.505149978319906,1.4913616938342726,1.3010299956639813,1.4065401804339552,3.5928426831311002,4.687974620034556,152.34375,1.55,0.0796875
44,BMW,2 Series,2016,premium unleaded ,240,4,automatic,all wheel drive,2,Compact,Coupe,35,23,3916,34850,29.0,2.380211241711606,1.5440680443502757,1.3617278360175928,1.462397997898956,3.5928426831311002,4.542202782434028,145.20833333333334,1.5217391304347827,0.12083333333333333
45,BMW,2 Series,2016,premium unleaded ,240,4,automatic,all wheel drive,2,Compact,Convertible,34,22,3916,40650,28.0,2.380211241711606,1.5314789170422551,1.3424226808222062,1.4471580313422192,3.5928426831311002,4.609060549930087,169.375,1.5454545454545454,0.11666666666666667
46,BMW,2 Series,2016,premium unleaded ,320,6,automatic,rear wheel drive,2,Compact,Coupe,31,20,3916,44150,25.5,2.505149978319906,1.4913616938342726,1.3010299956639813,1.4065401804339552,3.5928426831311002,4.644930707913588,137.96875,1.55,0.0796875
47,BMW,2 Series,2016,premium unleaded ,240,4,manual,rear wheel drive,2,Compact,Coupe,34,22,3916,32850,28.0,2.380211241711606,1.5314789170422551,1.3424226808222062,1.4471580313422192,3.5928426831311002,4.5165353738958,136.875,1.5454545454545454,0.11666666666666667
48,BMW,2 Series,2016,premium unleaded ,320,6,automatic,all wheel drive,2,Compact,Coupe,30,20,3916,46150,25.0,2.505149978319906,1.4771212547196624,1.3010299956639813,1.3979400086720377,3.5928426831311002,4.664171705361931,144.21875,1.5,0.078125
49,BMW,2 Series,2016,premium unleaded ,320,6,automatic,rear wheel drive,2,Compact,Convertible,30,20,3916,50750,25.0,2.505149978319906,1.4771212547196624,1.3010299956639813,1.3979400086720377,3.5928426831311002,4.705436046585251,158.59375,1.5,0.078125
50,BMW,2 Series,2017,premium unleaded ,335,6,automatic,all wheel drive,2,Compact,Coupe,31,21,3916,46450,26.0,2.525044807036845,1.4913616938342726,1.3222192947339193,1.414973347970818,3.5928426831311002,4.66698571832966,138.65671641791045,1.4761904761904763,0.07761194029850746
51,BMW,2 Series,2017,premium unleaded ,335,6,automatic,rear wheel drive,2,Compact,Convertible,32,21,3916,49050,26.5,2.525044807036845,1.505149978319906,1.3222192947339193,1.423245873936808,3.5928426831311002,4.690639011715968,146.4179104477612,1.5238095238095237,0.0791044776119403
52,BMW,2 Series,2017,premium unleaded ,335,6,automatic,all wheel drive,2,Compact,Convertible,32,21,3916,51050,26.5,2.525044807036845,1.505149978319906,1.3222192947339193,1.423245873936808,3.5928426831311002,4.707995746422929,152.38805970149255,1.5238095238095237,0.0791044776119403
53,BMW,2 Series,2017,premium unleaded ,335,6,automatic,rear wheel drive,2,Compact,Coupe,32,21,3916,44450,26.5,2.525044807036845,1.505149978319906,1.3222192947339193,1.423245873936808,3.5928426831311002,4.647871765306233,132.6865671641791,1.5238095238095237,0.0791044776119403
54,BMW,2 Series,2017,premium unleaded ,248,4,automatic,rear wheel drive,2,Compact,Convertible,34,23,3916,38950,28.5,2.3944516808262164,1.5314789170422551,1.3617278360175928,1.4548448600085102,3.5928426831311002,4.590507462008583,157.05645161290323,1.4782608695652173,0.11491935483870967
55,BMW,2 Series,2017,premium unleaded ,248,4,automatic,rear wheel drive,2,Compact,Coupe,35,24,3916,33150,29.5,2.3944516808262164,1.5440680443502757,1.380211241711606,1.469822015978163,3.5928426831311002,4.5204835327407915,133.66935483870967,1.4583333333333333,0.11895161290322581
